"Frame ID";"Cascade render";Render
36;1.02246;4.91978
37;1.05398;6.04355
38;1.09843;5.11021
39;1.12122;5.0248
40;1.17299;5.10045
41;1.21002;5.14003
42;1.25078;5.18429
43;1.27062;5.28038
44;1.28557;5.42342
45;1.32266;5.3185
46;1.33197;5.39398
47;1.36205;6.09581
48;1.37571;5.56566
49;1.40989;5.62227
50;1.42701;7.25021
51;1.43949;7.11373
52;1.44899;5.57507
53;1.47168;6.49786
54;1.47229;5.65731
55;1.47888;6.07674
56;1.48013;5.83219
57;1.48896;6.98787
58;1.48826;6.64285
59;1.49952;6.3167
60;1.50813;6.6032
61;1.51635;5.80314
62;1.51866;6.22445
63;1.52182;7.29629
64;1.52115;7.33792
65;1.51981;5.94432
66;1.51971;7.07459
67;1.50237;7.84832
68;1.49469;7.29728
69;1.47997;7.5704
70;1.44909;13.6464
71;1.45571;7.14992
72;1.44758;7.25955
73;1.4391;7.00291
74;1.43312;6.92147
75;1.43971;7.2863
76;1.44237;7.10214
77;1.43978;5.66659
78;1.44093;5.61158
79;1.44499;6.44998
80;1.44307;5.61312
81;1.44483;7.22374
82;1.44918;7.23632
83;1.45795;5.62291
84;1.46525;5.84851
85;1.47958;7.23622
86;1.49434;5.93539
87;1.49392;7.27795
88;1.4839;7.08358
89;1.50643;6.62042
90;1.5255;6.9687
91;1.52035;5.9335
92;1.54211;5.68154
93;1.55818;6.08669
94;1.55229;5.6928
95;1.5761;5.74403
96;1.58602;5.97859
97;1.59859;5.80211
98;1.57098;5.69786
99;1.57347;6.6344
100;1.57578;5.71126
101;1.58522;5.79363
102;1.59187;5.75146
103;1.5871;5.82714
104;1.61533;5.74656
105;1.59827;5.74838
106;1.58486;5.76608
107;1.59517;5.65126
108;1.58154;5.67411
109;1.55389;5.70022
110;1.5304;5.78854
111;1.51027;5.55773
112;1.49418;5.60883
113;1.46829;5.63421
114;1.46454;5.92259
115;1.41334;5.44941
116;1.33226;5.74867
117;1.30355;5.29347
118;1.27485;5.33226
119;1.23942;5.24266
120;1.20064;5.19645
121;1.19382;5.20173
122;1.10992;5.18816
123;1.03322;4.96173
124;1.00669;5.0024
125;1.02006;5.01936
126;0.961504;4.88221
127;0.920768;4.78998
128;0.908448;4.69382
129;0.908896;4.80598
130;0.899712;4.92262
131;0.875392;5.08432
132;0.858496;4.63046
133;0.840832;4.73411
134;0.840832;4.72099
135;0.827072;4.81098
136;1.43872;5.65869
137;1.42851;5.61754
138;1.43936;5.63821
139;1.40077;5.56458
140;1.38336;5.58768
141;1.38358;5.55354
142;1.37421;5.61696
143;1.37078;5.56061
144;1.38106;6.03744
145;1.36691;5.56211
146;1.33594;5.8249
147;1.31965;5.63859
148;1.31654;5.60394
149;1.30989;5.51568
150;1.30634;5.46986
151;1.2809;5.67078
152;1.27283;5.4264
153;1.25408;5.44592
154;1.24118;5.39971
155;1.2423;5.3391
156;1.23779;5.45248
157;1.23773;5.4336
158;1.24099;5.43075
159;1.24019;5.59632
160;1.24019;5.4343
161;1.24211;5.54003
162;1.23738;5.50051
163;1.23654;5.51661
164;1.23834;5.41968
165;1.23978;5.43757
166;1.23859;5.46672
167;1.2456;5.43046
168;1.23981;5.44774
169;1.23968;5.44186
170;1.23818;5.46499
171;1.23648;6.86496
172;1.22771;5.49571
173;1.22787;5.5625
174;1.22714;5.51123
175;1.2215;5.468
176;1.22285;5.44032
177;1.21702;5.45306
178;1.21827;5.47728
179;1.22096;5.40538
180;1.22416;5.47642
181;1.23251;5.41411
182;1.24742;5.58326
183;1.24694;5.57462
184;1.2871;5.5231
185;1.30179;5.4784
186;1.34032;5.56355
187;1.34925;5.50547
188;1.4;5.81277
189;1.42515;5.97613
190;1.44848;5.78102
191;1.4649;5.72768
192;1.55018;5.77693
193;1.55389;5.83997
194;1.5745;5.77856
195;1.57648;5.71648
196;1.59789;5.79939
197;1.63021;5.81606
198;1.71424;5.86627
199;1.78762;6.02083
200;1.85712;6.14221
201;1.9521;6.25597
202;2.04307;6.30557
203;2.09254;6.46125
204;2.15322;6.84797
205;2.26022;6.58403
206;2.31725;6.65875
207;2.42525;6.57014
208;2.49818;6.82301
209;2.59139;6.89402
210;2.66106;7.06352
211;2.67165;7.19504
212;2.71389;7.1432
213;2.74733;7.24093
214;2.78995;7.38182
