"Frame ID";"Cascade render";Render
23;2,56506;9,12755
24;2,8857;9,44554
25;4,83242;11,7937
26;4,64659;14,0014
27;5,36614;14,0002
28;5,28019;20,1293
29;6,79466;16,4556
30;7,2895;17,0084
31;5,19843;11,9784
32;4,92262;12,1211
33;7,28835;16,3534
34;6,42893;13,497
35;8,69229;19,4388
36;8,82618;19,5613
37;7,05514;16,2119
38;7,0257;18,0645
39;8,16294;16,3963
40;6,6471;17,1832
41;11,4356;21,3292
42;8,82301;18,5613
43;7,1897;17,0779
44;7,49814;14,6849
45;7,36362;17,8962
46;7,6151;18,6786
47;7,09203;16,4652
48;4,92051;11,7128
49;7,28438;16,9348
50;7,20957;13,9275
51;4,92237;11,9048
52;4,90378;11,6315
53;4,89104;11,5451
54;7,68909;14,9891
55;7,71101;15,6849
56;7,3336;14,0147
57;5,2224;12,9593
58;7,33968;17,1278
59;8,45302;15,4015
60;9,96557;17,8499
61;5,30432;12,2483
62;5,27146;12,4642
63;7,00915;16,8143
64;6,25718;13,1142
65;5,22634;12,0058
66;5,06064;14,9537
67;6,72032;14,1044
68;6,01174;12,6404
69;4,60182;11,5272
70;3,21792;9,94803
71;4,08371;14,6106
72;3,63197;10,9685
73;3,20477;12,5849
74;3,09318;11,1127
75;1,99184;8,50333
76;2,67693;10,7202
77;2,46806;11,6426
78;2,35478;9,99091
79;2,29414;10,1601
80;2,25939;9,31581
81;2,25126;9,26771
82;2,2417;12,1507
83;2,18147;9,20042
84;2,1472;9,06192
85;2,11955;12,3307
86;2,07034;12,2664
87;2,07072;10,9012
88;2,06778;12,1039
89;2,06083;9,34982
90;2,07165;9,192
91;2,05597;9,14192
92;2,0681;9,76304
93;2,07126;10,451
94;2,06864;12,1218
95;2,05242;9,60694
96;2,04154;9,9735
97;2,04096;9,736
98;2,02893;9,27101
99;2,0367;12,3323
100;2,06058;9,29846
101;2,1095;11,3835
102;2,15398;9,66506
103;2,21677;12,243
104;2,3081;12,5472
105;2,3913;9,64573
106;2,50461;9,6224
107;2,99418;13,1897
108;3,47139;13,5456
109;4,9129;14,5772
110;4,8696;11,954
111;5,52086;15,0262
112;5,7312;15,721
113;8,94272;17,9394
114;7,36675;15,6093
115;6,2935;15,0149
116;6,26131;14,3874
117;7,02058;14,9837
118;6,32282;14,0631
119;8,16253;18,1025
120;6,304;14,9238
121;6,1953;14,6443
122;6,29766;14,0438
123;7,23318;15,1017
124;6,16253;13,8219
125;6,37712;15,285
126;9,86672;20,4962
127;8,71613;17,5081
128;8,1856;16,0424
129;8,41853;19,2229
130;8,51274;19,0053
131;5,7007;13,5389
132;8,8944;16,7477
133;7,87792;16,4941
134;8,38048;19,1676
135;6,44278;15,5443
136;6,75405;16,4825
137;8,04963;15,3245
138;6,28646;15,2687
139;6,50742;13,664
140;7,61539;15,743
141;5,51469;12,7735
142;8,41117;16,1797
143;5,52339;14,2161
144;6,19341;14,0634
145;8,66326;15,7996
146;6,26086;15,306
147;8,15546;15,8122
148;6,2823;14,4993
149;6,30042;16,5564
150;5,98838;14,1448
151;6,91034;16,572
152;8,72659;17,2891
153;5,84326;15,3842
154;8,42666;15,5717
155;11,0469;22,9647
156;11,0606;22,263
157;11,0318;20,5862
158;11,0412;19,7983
159;10,5617;19,3734
160;11,8038;20,7052
161;10,692;20,0602
162;10,7049;20,8276
163;10,6895;20,5379
164;11,221;20,4562
165;10,7766;19,6391
166;10,7556;21,1265
167;11,2036;23,0427
168;10,7659;20,0044
169;11,4176;20,9025
170;10,7676;20,1036
171;10,7639;20,2478
172;10,7245;19,866
173;10,7878;19,7683
174;10,7753;21,5089
175;10,7725;19,597
176;10,848;19,744
177;10,7698;19,6563
178;11,258;22,4093
179;10,7349;20,0127
180;10,7879;19,5773
181;10,7193;19,762
182;10,7297;19,5291
183;10,6912;19,471
184;10,711;19,6224
185;10,5556;21,0253
186;10,5244;19,5519
187;10,7299;19,8321
188;10,5099;19,5368
189;11,1799;20,0892
190;10,4336;21,074
191;10,391;19,1483
192;10,2994;19,7485
193;10,2546;20,1129
194;10,1596;20,2234
195;10,0698;19,3158
196;10,6868;19,5637
197;9,93731;18,7046
198;9,9433;18,6681
199;9,852;18,577
200;10,3361;20,9293
201;9,66691;21,3824
202;9,61952;18,5277
203;9,50778;19,1201
204;9,38861;18,0822
205;9,2175;19,4048
206;9,13347;16,9148
207;8,95843;17,3815
208;8,92784;17,0193
209;8,84822;17,15
210;8,72893;18,2074
211;8,61037;18,3778
212;8,5503;18,4936
213;8,40749;16,8291
214;8,12458;16,2917
215;7,86131;16,0189
216;7,54282;15,9082
217;7,18032;15,7078
218;6,97181;15,7234
219;6,96662;15,3726
220;7,13958;15,5985
221;7,19584;15,3094
222;7,32384;14,9856
223;7,36422;14,9129
224;7,12832;14,657
225;7,04048;14,6154
226;7,02282;14,41
227;7,20666;14,9348
228;7,31411;14,9345
229;7,23757;14,6236
230;7,63318;14,7156
231;7,52477;14,2623
232;7,39754;14,0011
233;7,17245;14,0954
234;7,14419;14,0418
235;6,97136;13,781
236;6,724;14,1234
237;6,66205;13,6856
238;6,72566;13,8147
239;6,8993;13,6912
240;7,08643;13,7571
241;7,18717;13,9562
242;7,25971;13,7165
243;8,90358;15,555
244;8,00752;15,1267
245;9,64998;16,9766
246;7,54554;15,1073
247;7,58534;16,0255
248;7,62125;16,0482
249;8,23392;15,5564
250;7,72477;15,6662
251;8,35018;17,4553
252;9,89408;19,3977
253;8,76957;15,9381
254;7,71494;16,9661
255;7,65994;16,8172
256;7,64266;14,7786
257;9,3633;16,379
258;7,71133;14,8149
259;7,68045;14,9905
260;7,73565;15,1895
261;7,75962;16,3737
262;7,75258;14,9034
263;8,16944;16,3971
264;8,4705;17,3437
265;7,64061;17,1876
266;7,63146;15,0666
267;8,02643;16,3686
268;7,4783;13,9244
269;9,31002;18,269
270;6,97562;13,7599
271;7,11786;13,9081
272;9,78758;16,3453
273;9,91856;17,6183
274;7,76077;19,2114
275;8,02589;19,993
276;7,74739;16,1995
277;7,70381;16,5892
278;7,75654;17,0288
279;7,27162;19,2508
280;7,11101;15,1749
281;7,11872;17,2672
282;7,16291;15,7358
283;7,12682;15,4474
284;6,98214;18,9077
285;6,88141;14,927
286;6,73632;15,3313
287;6,65837;17,1983
288;6,53792;15,1855
289;6,42125;15,0941
290;6,23994;18,0338
291;6,18352;14,7874
292;6,25878;17,8747
293;6,30691;16,3068
294;6,28845;15,8293
295;6,27213;16,343
296;6,2503;17,7784
297;6,25302;16,2287
298;6,21373;14,9486
299;6,21379;17,3312
300;6,37315;14,9896
301;6,52755;16,3398
302;6,64688;14,8131
303;8,96694;18,5406
304;7,15002;16,214
305;7,5913;16,4347
306;8,04378;19,5435
307;7,80266;18,4607
308;7,89715;17,2627
309;8,62323;17,9338
310;8,58867;17,4564
311;11,1821;19,8727
312;10,0734;18,0544
313;10,9228;19,3015
314;8,36054;19,5058
315;9,63325;16,7799
316;7,8553;15,3246
317;6,62179;13,9801
318;5,24611;12,3077
319;5,4215;13,0915
320;5,7943;12,5619
321;5,99914;14,3263
