"Frame ID";z-pass;min-max-reduction;"Cascade render";Render
36;4.47037;0.354208;3.44794;3.76349
37;4.23453;0.394784;3.28538;4.25533
38;4.90701;0.341536;2.98374;3.68774
39;4.94042;0.334336;2.61792;3.67962
40;4.13565;0.310592;2.27818;4.12563
41;5.08784;0.248416;1.9273;4.10758
42;6.62246;0.218112;1.74077;3.84262
43;5.84029;0.22592;1.26896;4.40784
44;5.06944;0.217504;1.07674;3.69866
45;5.72541;0.216256;0.982784;3.92365
46;4.8095;0.241536;0.97696;3.83498
47;5.4401;0.329984;1.38963;4.50768
48;4.47472;0.362688;1.24685;4.02246
49;5.26435;0.415712;1.78496;4.10909
50;4.46192;0.337696;2.10822;4.01706
51;4.42662;0.25232;2.34333;3.89328
52;5.47786;0.207488;2.7687;4.45366
53;4.49622;0.216192;2.70077;3.69066
54;4.35363;0.21664;2.67315;4.0345
55;5.19629;0.206656;2.84835;3.69818
56;5.01171;0.216288;3.16154;4.02672
57;5.10595;0.205824;3.01978;3.78755
58;5.69584;0.206784;2.77677;4.07846
59;4.49968;0.298304;2.90909;3.47328
60;4.50045;0.346112;2.59565;4.37354
61;4.74685;0.358848;2.46803;4.1104
62;4.78851;0.35952;2.09862;3.71206
63;5.04218;0.354368;1.90253;3.54128
64;4.59574;0.342912;1.76736;3.3951
65;4.45155;0.3184;1.66909;3.41402
66;4.46045;0.31776;1.5856;3.5809
67;4.82144;0.312448;1.53606;3.71827
68;4.35626;0.309248;1.52093;3.86912
69;7.06365;0.312896;1.54515;4.24422
70;5.14787;0.29984;1.5561;3.71331
71;6.37994;0.30624;1.55091;3.6465
72;6.86122;0.296128;1.51114;4.53578
73;5.60528;0.303104;1.4855;4.45738
74;5.02029;0.30096;1.44557;3.3881
75;5.48534;0.302592;1.4047;3.50096
76;5.00445;0.301536;1.36512;3.59181
77;5.91971;0.300064;1.36669;3.81974
78;5.87552;0.305824;1.34333;3.92544
79;5.80995;0.305376;1.33872;4.37645
80;5.73702;0.308992;1.33971;4.068
81;5.90442;0.312192;1.34221;3.60096
82;5.33283;0.310944;1.32102;4.43901
83;4.88541;0.316384;1.33155;3.90474
84;5.3896;0.31792;1.34074;3.92899
85;6.24512;0.319616;1.32877;4.43219
86;5.96467;0.323104;1.34256;4.79779
87;6.56221;0.318912;1.33398;5.10442
88;7.12957;0.327648;1.35085;4.72163
89;5.19517;0.320736;1.3247;3.6913
90;5.0865;0.3176;1.31779;5.0975
91;7.0769;0.318112;1.35722;5.06899
92;5.10618;0.322592;1.41722;4.0984
93;5.47731;0.31664;1.46768;3.91584
94;4.67706;0.311424;1.49549;3.65552
95;5.0399;0.308704;1.53763;3.82973
96;4.8545;0.310144;1.52093;3.86595
97;7.04422;0.306112;1.48685;5.51677
98;7.07411;0.304096;1.45437;4.92138
99;6.38266;0.30432;1.43373;3.62208
100;9.61286;0.300608;1.36637;3.74454
101;5.27139;0.299296;1.37254;3.31584
102;5.94013;0.302528;1.32227;3.22237
103;5.26563;0.303392;1.28;3.12861
104;6.2745;0.300736;1.23898;2.99107
105;7.5439;0.3048;1.20858;3.20848
106;5.90733;0.296288;1.16806;3.21658
107;6.90858;0.30448;1.12714;3.4552
108;5.85699;0.300256;1.07562;2.7297
109;5.85443;0.299872;1.0497;5.22928
110;5.5047;0.297696;1.00269;3.80342
111;6.26941;0.292608;0.970048;3.84861
112;4.84246;0.289984;0.931808;3.33574
113;7.76928;0.288896;0.894528;2.67226
114;7.19952;0.28768;0.847456;3.63696
115;6.58986;0.287296;0.7872;3.63987
116;7.35091;0.289056;0.725888;3.65101
117;6.58342;0.289664;0.690368;2.69222
118;7.22198;0.284768;0.63232;3.64461
119;7.82781;0.284448;0.560256;3.51626
120;5.62442;0.279904;0.498848;2.68346
121;6.6353;0.283616;0.48896;2.57504
122;5.14502;0.280192;0.473568;2.57264
123;5.55264;0.281536;0.457568;3.34714
124;6.29011;0.277408;0.455296;4.15811
125;7.26989;0.282624;0.46256;3.224
126;7.61917;0.283808;0.468416;3.22851
127;6.01571;0.282272;0.480928;2.83613
128;5.97133;0.28544;0.494752;3.42966
129;5.96003;0.287872;0.505152;2.78854
130;6.4887;0.288992;0.529664;2.58163
131;10.0491;0.290592;0.543712;2.57818
132;6.42128;0.286432;0.559168;3.04186
133;5.2737;0.281696;0.578176;3.45296
134;5.48438;0.281504;0.585248;2.54064
135;4.86582;0.282592;0.611936;3.50211
136;6.80605;0.283968;0.842944;2.84618
137;7.51123;0.285824;0.908864;3.9023
138;8.33574;0.293056;0.92544;2.88774
139;6.8679;0.294912;0.94432;4.0384
140;7.01786;0.296672;0.965856;3.49942
141;7.10458;0.297536;0.989312;3.0712
142;4.83677;0.304608;1.14246;3.37542
143;4.73952;0.305312;1.20947;4.5913
144;7.65898;0.302784;1.24909;4.46125
145;8.77389;0.304672;1.29008;4.38611
146;8.10058;0.292768;1.35494;4.2727
147;7.10502;0.292256;1.45584;3.22829
148;4.97126;0.290784;1.56592;3.19194
149;4.60451;0.283328;1.61174;3.13827
150;4.65386;0.278368;1.65878;3.08253
151;5.38826;0.263936;1.69421;3.22458
152;6.57802;0.274784;1.70627;3.98499
153;5.13638;0.284672;1.76656;4.07536
154;6.13536;0.285152;1.78909;4.17718
155;4.93603;0.282912;1.79472;3.53587
156;6.14326;0.27328;1.80758;3.36621
157;6.35824;0.267456;1.83373;3.1529
158;6.51146;0.27216;1.82576;3.3144
159;6.13651;0.27056;1.82925;3.20154
