"Frame ID";z-pass;min-max-reduction;"Cascade render";Render
89;1.14352;0.256096;2.59517;0.985088
90;0.66112;0.256288;4.09149;1.22531
91;0.545376;0.253216;2.61069;1.18435
92;0.569184;0.257056;2.96982;1.09661
93;1.42227;0.25648;2.60538;1.06688
94;0.657824;0.252224;2.61741;1.27488
95;0.50256;0.250592;2.59507;0.962112
96;2.0519;0.251552;2.81677;0.975648
97;0.503808;0.262976;2.56109;0.971712
98;0.512352;0.253312;2.58723;0.99408
99;0.501824;0.257056;2.74102;1.61635
100;0.52432;0.25648;2.5649;1.04038
101;0.565344;0.26176;2.67546;0.970912
102;0.481856;0.261792;2.56947;1.40125
103;0.585056;0.259968;2.56022;1.08794
104;0.522272;0.258848;2.58845;0.951616
105;0.490464;0.261152;2.53808;1.20877
106;0.640064;0.262016;2.54826;0.942368
107;0.491168;0.269248;2.56557;1.09258
108;0.588608;0.264352;2.80934;1.05654
109;0.561216;0.266208;4.13386;0.989056
110;0.491456;0.278528;2.62806;0.901344
111;0.475776;0.28464;2.596;0.948096
112;0.460736;0.28416;2.60144;1.52234
113;0.633216;0.276736;2.63955;1.0545
114;0.551488;0.270816;2.87814;1.00758
115;0.513824;0.272992;2.6223;1.46954
116;0.481504;0.277952;2.62317;0.88736
117;0.503008;0.293056;2.63635;0.888672
118;0.674752;0.2864;2.86512;1.05626
119;0.672;0.281888;2.91661;0.883616
120;0.465984;0.296896;2.64544;0.882944
121;0.623648;0.289952;2.94595;1.25402
122;1.79658;0.290912;3.18576;1.38928
123;0.74432;0.288704;3.05197;1.1751
124;0.679552;0.283168;3.02934;2.16426
125;0.708512;0.29712;2.72173;1.09411
126;0.605376;0.28592;2.93187;1.0497
127;0.590368;0.288672;2.67709;1.32307
128;1.02051;0.290816;3.04074;1.20307
129;0.672224;0.287456;2.81459;0.96544
130;0.546432;0.283488;2.97251;1.12653
131;0.654208;0.27872;3.06563;1.43638
132;0.690432;0.27312;3.03034;1.10189
133;0.582144;0.275232;2.71037;1.16304
134;0.692512;0.292544;3.16774;1.03616
135;1.14541;0.289184;3.1151;0.989344
136;0.576928;0.277728;3.56032;1.01376
137;0.533376;0.28208;3.07846;0.980192
138;0.576736;0.286496;3.08531;0.963872
139;0.826752;0.287136;3.21405;0.899776
140;0.545376;0.283552;3.2497;0.985472
141;0.761472;0.284896;3.19456;1.40653
142;0.5456;0.285344;3.01715;0.964032
143;0.516256;0.281856;3.29082;0.910912
144;0.41776;0.287008;3.03443;1.78394
145;0.841312;0.284416;3.42112;0.898368
146;0.520224;0.2808;3.43069;1.03034
147;0.606496;0.283104;3.67558;0.976992
148;0.614176;0.294624;3.54182;0.864032
149;0.612192;0.286464;3.56442;0.919424
150;0.646528;0.294624;4.44122;1.02307
151;0.611424;0.290176;3.69747;1.07869
152;0.501792;0.286592;3.7641;1.62195
153;0.742176;0.301088;3.73427;1.01478
154;0.519584;0.287424;3.64256;1.02291
155;0.468128;0.289504;4.22368;1.06118
156;0.621312;0.295264;3.87178;1.38893
