"Frame ID";z-pass;min-max-reduction;"Cascade render";Render
11;11.1147;0.295424;23.252;15.1723
12;10.8876;0.298336;26.596;14.2897
13;6.95584;0.29936;13.7374;9.43488
14;7.02493;0.299936;13.6663;15.3083
15;10.534;1.48413;18.292;11.7071
16;10.0541;0.507104;27.3102;12.0946
17;10.0925;0.522144;25.8287;11.7213
18;9.83536;0.544672;30.313;11.3389
19;8.9889;0.55648;25.504;11.1131
20;8.3385;0.577504;26.9822;17.8345
21;7.80013;0.63376;26.4389;9.95984
22;8.68166;0.657632;27.8268;10.5818
23;12.0668;0.655456;29.3385;11.559
24;9.52749;0.663904;31.1908;12.4863
25;9.98518;0.66416;32.5673;12.4319
26;10.1957;0.671936;30.7058;12.7524
27;10.1308;0.669408;32.0071;12.9104
28;10.1611;0.680416;33.0477;13.0114
29;10.2976;0.651904;31.9;13.2418
30;9.8577;0.660544;32.6203;13.6951
31;10.2557;0.666624;31.1625;12.9482
32;10.1325;0.650624;29.8708;12.9047
33;9.49904;0.67888;29.4404;12.6228
34;11.6279;0.6816;30.6969;11.1495
35;10.7612;0.684608;22.4067;9.65254
36;8.21792;0.70112;19.7495;9.7447
37;8.38691;0.6888;21.9596;10.3418
38;9.19645;0.636288;22.4164;10.8075
39;8.93158;0.599424;23.062;10.8876
40;8.76989;0.55472;22.498;10.8596
41;8.74285;0.536704;20.9994;10.0719
42;8.41549;0.516672;20.5621;9.85846
43;7.99597;0.51808;18.9137;9.28195
44;8.08362;0.408224;17.8172;9.41514
45;8.14723;0.298752;17.4066;8.83946
46;7.33549;0.291168;16.2152;9.0263
47;7.66422;0.300928;15.6951;8.56576
48;7.87565;0.297792;15.3004;8.54672
49;7.57139;0.298656;15.1017;8.71248
50;7.2103;0.299104;14.8494;8.3104
51;7.57901;0.297408;14.8912;8.50736
52;7.14829;0.299456;15.0602;8.32595
53;7.4495;0.2984;15.4059;8.53088
54;7.31472;0.291552;16.6565;8.36806
55;7.57869;0.299264;17.7893;8.89254
56;7.50973;0.29744;19.3361;8.83574
57;8.60848;0.301536;19.4221;9.55725
58;8.80102;0.298304;21.2807;10.2766
59;9.04365;0.301952;22.1321;11.6775
60;8.59834;0.299488;23.4897;10.5719
61;9.8119;0.747648;29.4041;12.1805
62;11.8351;1.20464;33.514;14.6156
63;11.0475;1.76115;34.6853;14.8898
64;12.8613;1.90099;33.2667;15.078
65;10.3581;2.02634;32.9147;14.4541
66;10.4795;2.11693;32.2921;14.3163
67;11.1175;2.17158;32.4623;14.4622
68;10.3356;2.15178;32.9887;14.7045
69;10.4167;2.17088;34.1504;15.0615
70;10.6276;2.21571;34.8243;15.2531
71;10.9829;2.07818;34.5577;14.7471
72;10.6711;2.05776;35.0266;15.1365
73;11.1507;2.06726;34.4553;15.5284
74;11.3761;2.04403;35.1918;15.0076
75;11.0248;2.09222;35.122;14.6073
76;11.0933;2.06586;35.1565;14.4679
77;11.0756;2.01437;35.3317;14.3512
78;10.9248;2.044;35.3155;14.2299
79;11.0914;2.06067;34.572;14.2609
80;11.2548;2.00518;34.898;14.0105
81;10.4816;2.00192;35.1775;14.0526
82;10.5122;2.06458;36.0859;14.3123
83;10.7353;2.01558;35.7662;14.3624
84;10.1918;2.04723;34.8345;14.1274
85;11.0109;2.06269;34.2764;14.4382
86;10.3193;2.02278;33.7494;14.6337
87;10.0037;2.0337;33.1417;14.4139
88;10.2183;1.96189;32.7355;14.7245
89;10.9631;2.00848;31.7592;14.3973
90;10.8987;2.00448;30.6585;15.3796
91;9.93178;2.0375;30.8862;15.2956
92;10.3417;2.02234;29.2116;14.2319
93;10.2127;2.04813;28.221;14.5305
94;11.3715;2.0137;27.4316;15.068
95;10.4527;2.02214;26.8975;14.7516
96;12.0513;2.10563;28.297;15.2708
97;10.7204;2.1584;29.6532;14.9603
98;11.387;2.21648;30.0477;15.6049
99;11.1018;2.25549;31.3886;16.3158
100;10.5123;2.33926;32.237;16.0188
101;11.0477;2.46182;32.3172;16.4616
102;11.2167;2.56902;32.7072;16.9452
103;10.8433;2.62723;32.6918;16.4836
104;10.8466;2.6207;33.2791;17.0593
105;11.135;2.67379;34.6656;17.6282
106;11.3713;2.65533;35.7937;17.7989
107;11.099;2.42611;37.0615;18.8341
108;10.3943;2.44464;37.8314;17.6104
109;10.3548;2.43162;38.3824;17.1043
110;11.1228;2.6999;38.2875;16.5192
111;11.0268;2.70438;37.6472;16.704
112;10.9456;2.61581;37.5159;16.114
113;10.4033;2.5321;36.4553;16.2212
114;9.96598;2.44666;34.8908;15.626
115;9.86157;2.36006;33.4748;15.3065
116;10.202;2.29824;31.8314;14.8328
117;10.2476;2.12131;31.0647;14.5941
118;9.93872;1.98902;30.9205;14.4851
119;9.86698;1.88893;30.0475;13.9272
120;9.40768;1.85898;30.1572;13.8697
121;10.4386;1.77574;29.9197;13.4962
122;9.53782;1.78723;30.1297;13.6605
123;10.1209;1.77968;30.1025;13.76
124;10.6597;1.79245;30.4186;14.4975
125;10.647;1.82723;30.3231;14.6394
126;10.7065;1.86986;31.9293;14.9037
127;10.9407;1.8679;33.7617;15.308
128;11.2076;1.82301;32.161;15.182
129;11.1197;1.74253;30.1015;15.7041
130;11.184;1.86605;30.728;16.0581
131;11.054;2.17389;29.737;16.2338
132;10.5891;2.19376;27.0362;15.7565
