"Frame ID";z-pass;min-max-reduction;"Cascade render";Render
9;9.63251;0.291456;47.3532;15.1226
10;9.95034;0.293184;43.2381;17.5822
11;11.7;0.294208;50.8258;12.3022
12;10.6899;0.300096;47.7548;13.049
13;7.51997;0.293792;21.629;9.19779
14;6.76966;0.295744;23.5826;9.71574
15;7.61523;0.295616;23.9655;8.97968
16;6.67501;0.29856;21.9566;10.363
17;8.06381;0.299872;23.5314;9.38656
18;7.41811;0.296992;29.2144;9.33613
19;6.81434;0.29968;25.5858;10.3904
20;10.2602;0.29888;22.2526;13.5468
21;7.19859;0.309728;22.4837;10.2265
22;9.46563;0.2992;25.5429;13.0968
23;7.3568;0.299808;22.0963;9.32749
24;7.32938;0.30224;24.1733;13.2083
25;10.7744;0.30832;25.1477;9.40144
26;7.36234;0.304384;22.578;9.60704
27;7.59866;0.308;20.7019;10.0558
28;6.96067;0.311904;19.6157;9.62525
29;7.36288;0.315744;20.216;9.47645
30;7.77187;0.31648;19.3308;10.2913
31;8.69738;0.31808;20.2239;9.7016
32;8.07062;0.320928;18.79;9.79338
33;7.21021;0.315424;18.6534;10.1735
34;7.10304;0.312032;18.5559;9.87818
35;8.28742;0.306304;18.2915;9.83014
36;7.9224;0.3096;18.1924;10.5881
37;7.78032;0.313824;18.3615;10.6981
38;7.83734;0.312448;17.724;10.2369
39;7.3911;0.314016;19.8702;11.0228
40;8.49926;0.323744;17.3879;10.2523
41;8.26794;0.33456;16.5893;10.706
42;8.22006;0.3456;16.4779;11.3003
43;8.1673;0.334688;16.3223;10.6114
44;9.80246;0.334912;16.7513;14.8911
45;8.72461;0.337632;15.1162;10.2988
46;9.97021;0.341824;18.0807;11.4385
47;9.23306;0.325184;19.7076;12.8819
48;8.01613;0.309792;17.1125;10.4016
49;8.63245;0.304992;17.915;10.3908
50;7.90019;0.310144;17.1955;10.4981
51;7.70272;0.523808;20.0092;10.7443
52;8.1328;0.426432;19.1631;10.4539
53;8.39264;0.411648;19.0451;10.4489
54;7.63728;0.41136;23.2851;11.5564
55;9.22323;0.40848;26.4833;11.1527
56;9.19216;0.4048;23.6904;14.5265
57;8.49491;0.403392;20.7804;10.7252
58;9.05363;0.403168;20.6075;11.2943
59;7.82224;0.409344;21.9347;10.5153
60;8.97478;0.401184;23.0711;10.478
61;8.22528;0.405472;22.3499;10.5885
62;7.63978;0.399648;23.2408;10.505
63;8.2367;0.405024;22.774;10.4718
64;7.73898;0.400896;23.4426;10.0575
65;7.36528;0.402944;24.6648;10.022
66;8.19562;0.407168;25.3663;9.70765
67;7.52118;0.410336;24.437;9.8072
68;8.23667;0.414816;24.6095;9.87699
69;8.20563;0.412512;26.0244;9.63546
70;8.25027;0.413472;24.7996;10.0007
71;7.50582;0.413376;25.4982;9.94758
72;8.51171;0.415168;26.3385;10.5761
73;7.79802;0.4208;28.6782;9.85446
74;8.73594;0.418912;25.2894;10.078
75;7.85565;0.416992;25.948;9.80563
76;8.39216;0.412512;25.7069;10.031
77;7.74762;0.41792;26.7598;9.7648
78;8.05651;0.415904;25.509;10.771
79;7.89722;0.417312;25.5891;9.68083
80;8.29322;0.415744;26.0057;10.1777
81;7.36016;0.418368;26.4851;10.326
82;9.46877;0.42032;25.2371;9.95734
83;7.51235;0.417632;28.0896;13.2305
84;10.6649;0.416352;29.814;10.1925
85;7.46368;0.418592;25.2029;11.0505
86;9.35885;0.413792;26.7494;10.7928
87;7.88931;0.413184;24.8168;15.2014
88;7.62682;0.418208;23.7581;9.94566
89;9.25597;0.415264;24.762;10.2763
90;8.26346;0.41584;22.9208;10.3654
91;9.18688;0.412512;22.2702;9.89565
92;7.80208;0.413248;23.1249;10.1613
