"Frame ID";z-pass;min-max-reduction;"Cascade render";Render
15;7.03683;0.29648;13.7424;9.33709
16;6.97088;0.298848;13.9092;9.01856
17;6.72502;0.300992;13.9688;9.25213
18;7.00077;0.301408;14.0172;9.17254
19;6.67216;0.300448;14.238;9.03571
20;6.59731;0.30464;13.8523;8.98307
21;6.65907;0.303104;13.4174;8.69059
22;6.64464;0.314976;13.1008;9.18707
23;7.8944;0.301376;13.1782;9.25104
24;7.13312;0.306784;14.9829;12.9076
25;7.07392;0.305024;13.9317;9.93629
26;6.98957;0.306304;14.3298;10.5708
27;9.95974;0.311456;17.9137;13.5192
28;6.9177;0.317248;14.1926;9.54442
29;8.13133;0.311456;15.068;13.0299
30;8.7704;0.317824;14.3657;13.9264
31;7.09171;0.322848;13.2342;9.62774
32;7.11782;0.31968;13.0079;9.54627
33;7.29085;0.3216;12.5888;9.60534
34;7.332;0.324896;13.0955;9.70595
35;7.3193;0.321792;12.7055;9.60512
36;7.15085;0.316928;12.7577;9.85875
37;7.18877;0.315808;12.4487;10.3246
38;7.4632;0.317824;12.1216;10.6824
39;7.61066;0.318528;11.823;10.5338
40;7.53696;0.322656;11.7861;10.3829
41;7.48986;0.335232;11.4644;11.0913
42;7.60125;0.346816;11.8431;10.4111
43;8.85168;0.349696;10.7839;10.6684
44;7.65472;0.34752;10.9101;13.0923
45;7.77005;0.345056;10.3984;10.8873
46;7.85126;0.340864;11.2165;10.5937
47;7.27523;0.319744;11.2236;10.5948
48;7.53696;0.311808;10.698;10.343
49;7.16688;0.311616;11.3905;10.2163
50;7.39661;0.307936;11.2556;9.78902
51;7.74595;0.533408;13.7295;11.1026
52;7.55376;0.413664;13.2192;10.5867
53;7.5097;0.413024;13.4885;10.9748
54;7.89158;0.409536;13.5797;10.7092
55;8.02813;0.405184;13.449;10.6615
56;7.52173;0.406272;13.9946;10.7577
57;7.72048;0.40688;14.0888;10.7232
58;7.68691;0.405824;13.9235;10.9769
59;7.65837;0.407552;14.7908;10.4799
60;7.81795;0.4072;14.5534;10.747
61;8.13626;0.407232;15.0024;11.0205
62;7.32592;0.410496;14.574;10.3927
63;7.57491;0.410528;15.1533;10.0542
64;7.94118;0.4144;15.8491;10.0129
65;7.57584;0.418688;15.9074;9.8927
66;7.58365;0.416736;15.8066;10.0157
67;7.38102;0.421632;16.527;10.3786
68;7.22141;0.422304;15.9223;10.161
69;7.63862;0.420992;16.5575;9.8976
70;7.58986;0.419392;16.0927;10.2929
71;7.26291;0.423168;16.626;10.8748
72;7.82954;0.421952;16.3398;10.0069
73;7.3305;0.412544;17.0133;10.1441
74;7.29571;0.421056;16.2988;9.81126
75;7.70877;0.42816;16.4597;10.1456
76;7.54592;0.42128;16.2067;10.5066
77;7.39475;0.422432;16.4434;9.85846
78;7.20182;0.422432;16.1817;10.1762
79;7.37693;0.420736;16.4616;9.75117
80;7.48394;0.422528;15.6908;9.80618
81;7.59482;0.42272;15.8925;10.0931
82;7.30374;0.41872;15.512;10.3673
83;7.38637;0.4224;15.4326;9.87011
84;8.48522;0.419712;15.271;10.0165
85;7.58349;0.419584;14.6003;10.3191
86;7.9049;0.422528;15.2895;10.3903
87;7.22467;0.41696;14.8595;10.3449
88;7.39898;0.421408;14.048;10.5472
89;7.22669;0.41712;14.4774;10.0458
90;7.50035;0.418176;13.8023;9.93069
91;7.41542;0.420672;13.9216;11.4202
92;7.27789;0.416256;13.6579;10.4452
93;7.3527;0.420224;13.334;10.2181
94;7.53242;0.417984;12.8033;10.2625
95;7.35648;0.414784;13.2123;10.1257
96;7.44739;0.417376;12.4399;9.91635
97;7.45293;0.41648;12.9909;10.0014
98;7.43155;0.416448;12.5618;10.3938
99;7.43782;0.416448;12.925;10.1491
100;7.4992;0.418624;13.0634;10.3546
101;7.35539;0.417312;13.5439;10.0891
102;7.21434;0.415776;13.4529;10.2379
103;7.36416;0.417472;14.6;10.5642
104;7.98435;0.418272;14.9815;10.614
105;7.45782;0.592864;15.8431;11.3558
106;7.52096;0.594592;15.8355;11.0661
107;7.28262;0.586944;16.0521;10.6167
108;7.33779;0.585856;16.2399;10.541
109;7.63715;0.59952;16.7334;10.7596
110;7.37466;0.593984;17.0564;11.0991
111;7.6512;0.597088;17.4972;11.0676
112;7.40976;0.58336;17.554;10.9978
113;7.50122;0.598304;17.398;10.9029
114;7.62678;0.59952;17.4374;10.6178
115;7.77526;0.5856;18.0599;11.4035
116;7.41251;0.591072;18.0189;10.8943
117;7.44992;0.596736;18.1742;10.7466
118;7.35194;0.606592;18.0077;10.9106
119;7.49245;0.591584;18.312;10.5426
120;7.6801;0.58208;18.0896;10.9695
121;7.56803;0.587104;17.7195;11.0824
122;7.16115;0.597056;17.6131;10.6887
123;7.11264;0.607808;17.5494;10.445
124;8.38307;0.64032;17.7478;10.3259
125;7.19149;0.743168;18.7366;10.5305
126;6.9097;0.783872;17.8265;10.1379
127;7.10269;0.92528;18.4068;10.5651
128;7.10656;0.966112;18.4874;10.3382
129;7.59165;0.970816;19.2114;10.755
130;7.87414;0.943552;18.8786;11.1396
131;7.78365;0.943264;19.8956;11.6313
132;7.8071;0.976192;19.4975;11.5833
133;7.96006;0.989088;19.182;11.3495
134;7.76464;0.992128;18.6229;11.7762
135;8.02202;0.992992;18.6195;11.6972
136;8.15168;0.984512;17.4366;11.4516
137;7.78128;0.982368;17.0353;10.9694
138;7.80093;0.973696;16.0936;10.9628
139;7.95738;0.961216;16.0406;10.9377
140;8.23162;0.977632;15.4769;11.2855
141;7.80038;0.952736;15.37;10.948
142;7.56195;0.9608;15.011;11.2044
143;7.53658;0.956064;14.6754;11.2371
144;9.0952;0.941056;14.0771;10.7382
145;7.67341;0.942048;13.8396;10.8345
146;7.60589;0.910208;13.5208;10.8723
147;7.49462;0.922144;13.732;10.983
148;7.58566;0.90656;13.9335;11.3571
149;7.56544;0.912896;14.6444;10.673
150;7.96326;0.881216;14.6352;11.5034
151;7.96048;0.873824;15.4361;11.2083
152;7.50954;0.858048;15.5601;10.8356
153;7.48451;0.86224;15.8612;10.6253
154;7.38749;0.849728;15.8335;10.5686
155;7.71427;0.878336;16.5933;11.1308
156;7.67062;0.863456;16.5228;11.218
157;7.58246;0.846816;16.9744;10.9602
158;7.9672;1.44918;20.0044;11.3348
159;8.4423;1.42704;20.7448;11.2761
160;8.12387;1.40112;20.6724;11.6078
161;7.79798;1.42413;21.4091;11.1314
162;7.85456;1.40902;21.9503;11.5518
163;7.93638;1.39149;22.1074;11.6753
