"Frame ID";"Cascade render";Render
50;5.54278;3.61526
51;5.1872;4.22566
52;5.3072;3.52205
53;5.23667;3.54374
54;5.25802;3.59094
55;5.37645;3.55408
56;5.46826;3.60438
57;5.58739;3.53142
58;5.28134;3.40746
59;5.28883;3.45222
60;5.0657;3.51437
61;5.0945;3.42662
62;5.33398;3.39853
63;5.24467;3.3681
64;4.91504;3.35706
65;5.1672;3.40912
66;5.02784;3.42922
67;5.01859;3.36307
68;5.03456;3.42877
69;4.9809;3.37421
70;4.70525;3.5456
71;5.11392;3.33555
72;5.09043;3.25882
73;4.8673;3.51962
74;4.8616;3.35853
75;4.8865;3.4809
76;4.57245;3.3689
77;4.95827;3.52912
78;4.21098;3.77715
79;4.40701;3.48006
80;4.69133;3.42717
81;4.58749;3.81059
82;4.18717;4.29318
83;4.25875;3.89357
84;4.4768;3.59853
85;4.37286;3.46803
86;4.37472;3.49984
87;4.12326;3.41456
88;4.02048;3.80182
89;4.34576;3.50912
90;4.23578;3.5161
91;4.28592;3.31357
92;4.32829;3.36333
93;4.32086;3.51117
94;4.14682;3.4185
95;4.4912;3.63331
96;4.07578;4.36333
97;4.73603;3.7513
98;4.56899;3.27878
99;4.54515;3.47213
100;4.47229;3.12755
101;4.28778;3.48883
102;5.06509;4.15248
103;4.29184;3.41504
104;4.30317;3.40672
105;5.53296;3.45245
106;4.28454;4.18016
107;4.84899;4.1865
108;4.49341;4.23584
109;4.36314;3.8679
110;4.2808;3.38698
111;4.45171;3.44637
112;4.85424;3.1967
113;4.16253;3.65866
114;4.18995;3.56842
115;4.1648;3.42512
116;4.14336;4.14998
117;4.45555;3.33174
118;4.32266;3.22189
119;4.31126;3.99085
120;4.24365;3.43011
121;4.41933;3.39245
122;5.31638;4.0728
123;4.0489;3.41616
124;4.27843;3.31373
125;5.01523;4.69878
126;4.76659;3.49424
127;4.69053;3.68333
128;4.65654;4.72854
129;4.94154;4.46918
130;4.94614;4.73667
131;4.74854;4.00986
132;5.27206;3.47744
133;4.75011;3.62432
134;4.75037;3.47475
135;4.2753;3.49165
136;4.64256;3.52269
137;4.94221;3.44038
138;4.1825;3.50483
139;4.2585;3.42419
140;4.20029;3.48931
141;4.45136;3.46211
142;4.5145;3.96934
143;4.4423;3.61763
144;4.28506;3.49389
145;4.8785;3.5777
146;4.28797;3.51024
147;5.04029;3.56755
148;4.35261;3.51792
149;4.31414;3.49965
150;4.28896;3.57978
151;4.46822;3.42931
152;4.58698;3.51242
153;4.79606;3.42358
154;4.43373;3.51098
155;4.57078;3.40755
156;4.51699;3.7208
157;4.77258;3.53779
158;4.39325;3.95648
159;4.56211;3.51123
160;4.78573;3.45165
161;4.95046;3.5816
162;4.81277;3.53136
163;4.74394;3.53139
164;5.56854;4.85459
165;4.81616;3.50989
166;4.72262;3.44426
167;5.23699;3.73754
168;4.72154;3.45875
169;4.7289;3.48413
170;4.81018;3.5648
171;4.6551;3.69418
172;4.58291;3.4847
173;4.62371;3.79472
174;4.89283;3.56746
175;5.22979;3.52643
176;5.2096;3.69232
177;5.30573;3.51885
178;5.02941;3.53018
179;5.09357;3.69642
180;5.26672;3.62858
181;4.78998;3.51475
182;4.98339;3.56112
183;5.02019;3.58458
184;5.09197;3.58624
185;4.90038;3.57437
186;4.98861;3.6615
187;4.97808;3.59267
188;5.2376;3.67706
189;4.98778;3.73139
190;5.11421;3.56243
191;5.31427;3.65158
192;5.60106;3.61434
193;4.83904;3.52726
194;5.84291;3.53549
195;5.23123;3.52688
196;4.77846;3.48384
197;4.73798;3.48045
198;4.5832;3.54336
199;4.52003;3.50781
200;4.68278;3.40915
201;4.66874;3.92787
202;4.53782;4.36867
203;4.77549;4.3071
204;4.70278;3.45338
205;4.56218;3.56797
206;4.53123;3.87018
207;4.6601;3.56166
208;4.64858;3.92826
209;4.63482;3.47421
210;4.71421;3.64381
211;4.65901;3.52502
212;4.69104;3.37325
213;4.56483;3.34829
214;4.50598;3.34365
215;4.42566;3.35456
216;4.91658;3.31885
217;4.59267;3.30358
218;4.70192;3.4783
219;4.56598;3.2672
220;4.42662;3.08643
221;4.63005;3.05197
222;4.87926;3.0288
223;4.82458;3.10096
224;4.81018;2.91325
225;4.41725;2.93296
226;4.45939;2.84362
227;4.59971;2.82096
228;4.83098;2.84678
229;4.20605;2.79203
230;4.27066;2.78803
231;4.15552;2.73811
232;4.48675;2.69546
233;4.38474;2.87126
234;4.11939;2.78506
