"Frame ID";z-pass;min-max-reduction;"Cascade render";Render
48;2.31661;0.352736;5.66765;3.66515
49;2.14032;0.37632;5.21219;3.99104
50;2.23818;0.38176;5.35898;3.57651
51;2.5105;0.39056;5.00352;3.54474
52;2.07997;0.363296;5.33325;3.58915
53;2.51453;0.34064;4.57283;3.70013
54;2.4439;0.3408;4.51155;3.47174
55;1.9544;0.33392;4.2545;3.45539
56;2.14163;0.330656;4.41136;3.46976
57;2.11306;0.320192;3.8559;3.58886
58;2.19274;0.305792;3.54672;3.5
59;1.95478;0.273344;3.74506;3.65955
60;2.37366;0.269568;3.68317;3.71574
61;2.33702;0.241696;3.67968;3.92064
62;2.4129;0.209184;3.24522;3.84214
63;2.25872;0.20848;2.99968;3.54381
64;2.28294;0.209216;3.45056;3.9
65;2.54541;0.2128;3.08013;3.81104
66;2.56419;0.220384;2.80442;3.56938
67;2.18848;0.21808;3.19066;3.66589
68;2.14963;0.208864;2.93424;3.9744
69;2.56266;0.209248;3.09059;4.02586
70;1.98512;0.208576;3.39011;3.78554
71;2.57354;0.209216;3.47946;3.59581
72;2.25552;0.225728;4.85674;3.84138
73;2.46378;0.237984;4.25475;3.93264
74;2.24739;0.252384;3.7639;3.75152
75;2.23501;0.320416;4.10733;4.52445
76;2.34445;0.334496;4.67104;4.48986
77;2.27766;0.349984;3.64042;3.93488
78;2.24806;0.366016;3.88374;3.5313
79;2.0841;0.393888;3.93952;3.58624
80;2.132;0.405792;4.3657;3.99651
81;2.35782;0.404384;4.29216;3.79635
82;2.3256;0.36336;4.66957;3.60707
83;2.17734;0.336768;4.36714;3.84032
84;2.08678;0.326496;4.50243;3.59894
85;2.06595;0.259904;4.7343;3.94733
86;2.22237;0.229312;5.11136;3.69667
87;2.18893;0.200352;5.35958;3.84173
88;2.02598;0.1992;5.37859;3.68765
89;2.41936;0.198624;4.71971;4.02854
90;2.34445;0.207872;4.54038;3.83613
91;2.27907;0.207808;4.37437;3.73638
92;2.35747;0.209216;4.2064;3.93571
93;2.22957;0.210144;4.39213;4.31206
94;2.10083;0.198944;4.29616;3.7192
95;2.3528;0.198912;4.30176;3.79744
96;2.4304;0.198816;4.80278;3.68672
97;2.69645;0.200128;4.62186;3.82912
98;2.13738;0.20912;4.69949;3.45699
99;2.40867;0.207648;4.73062;3.57514
100;2.42182;0.20832;4.50074;3.62579
101;2.35734;0.200032;4.38931;3.96186
102;2.19443;0.199808;4.16861;3.53462
103;2.24893;0.19808;4.21069;3.98662
104;2.1896;0.238912;4.43139;3.71309
105;2.15702;0.280512;4.17738;4.00605
106;2.12058;0.30304;3.79558;4.30291
107;2.35203;0.332992;3.88694;3.52634
108;2.3064;0.343264;4.02397;3.88096
109;2.73597;0.353408;3.84349;4.0767
110;2.61168;0.359744;3.77741;4.62566
111;2.12218;0.35504;4.19923;4.17194
112;2.36989;0.379968;3.87389;3.50224
113;2.33411;0.346656;3.82429;4.54163
114;2.40179;0.34768;3.94589;3.47763
115;2.46522;0.35584;3.5551;3.43571
116;2.49706;0.350592;3.51875;3.43018
117;2.14035;0.346048;4.32038;3.70838
118;2.22544;0.34176;3.6321;3.44573
119;2.30442;0.331648;3.66134;3.61613
120;2.10432;0.3272;3.99059;4.22643
121;2.5241;0.329504;3.656;4.63245
122;2.27395;0.322816;3.72058;4.00922
123;2.5281;0.318784;3.57782;4.13226
124;2.14614;0.310688;3.61866;3.61453
125;2.34595;0.315936;4.06477;3.71075
126;2.67248;0.310176;4.40301;3.53248
127;2.32365;0.303776;3.57834;3.16608
128;1.9641;0.308832;3.76544;3.22029
129;1.83642;0.30192;3.4775;3.43299
130;1.75664;0.303008;3.41309;3.13542
131;2.22822;0.3144;3.396;3.14758
132;1.97837;0.299488;3.50493;3.29453
133;1.97526;0.306624;3.32886;3.35587
134;1.89715;0.301216;3.42336;3.17341
135;1.96944;0.30128;3.29462;3.29005
136;1.96794;0.303968;4.45107;3.51472
137;2.09565;0.299424;3.23002;3.47776
138;1.95949;0.30224;3.25075;3.51142
139;1.83309;0.306304;3.29738;3.17194
140;2.09133;0.3112;3.46899;3.18422
141;2.27984;0.301856;3.39738;3.37837
142;1.95715;0.302016;4.05747;3.57507
143;2.26371;0.311936;3.33456;3.28003
144;2.13846;0.298944;4.2432;3.3176
145;1.77837;0.297472;3.2745;3.35571
146;2.01216;0.310752;3.44208;3.27491
147;2.03946;0.30416;3.6351;3.31546
148;2.13674;0.30144;3.45974;3.2225
149;2.27744;0.304672;3.52022;3.38403
150;2.21021;0.291776;3.50422;3.50925
151;1.9993;0.395744;3.64688;3.4751
152;2.03392;0.385056;4.1161;3.53488
153;2.14832;0.3904;3.73328;3.68589
154;2.2103;0.395232;3.81008;3.44243
155;1.95187;0.386176;3.93158;3.4912
156;2.44371;0.387424;3.92691;3.41597
157;1.95782;0.387648;3.87174;3.6216
158;2.83523;0.39472;4.40509;3.80762
159;2.22605;0.401632;4.34464;3.37917
160;2.14;0.393664;4.59709;3.54662
161;2.06832;0.394976;4.16925;3.6241
162;2.16387;0.396896;4.51645;3.3871
163;2.20355;0.394272;4.49264;3.68368
164;2.15021;0.38704;4.36704;3.41206
165;2.21798;0.393344;4.64851;3.7513
166;2.15664;0.4016;4.52026;3.63386
167;2.24595;0.391584;4.47987;3.44374
168;1.79414;0.396672;4.87808;3.67222
169;2.08506;0.403872;4.79875;4.14166
170;2.3311;0.40624;4.89328;3.45645
171;2.35235;0.415552;4.86666;3.50237
172;2.20051;0.411168;4.91216;3.57955
173;1.93734;0.3952;4.72861;3.69574
174;2.40048;0.407392;4.90547;3.43443
175;1.92621;0.410848;4.67856;3.50298
176;2.16106;0.400992;5.00694;3.46982
177;2.05866;0.405344;4.78883;3.61597
178;2.13971;0.411232;4.60787;3.84518
179;1.98822;0.416832;4.57114;3.40989
180;2.18589;0.420608;4.6065;3.84762
181;2.10922;0.41616;4.71421;3.64365
182;2.3665;0.414464;4.49293;3.53894
183;2.23306;0.412576;4.5023;3.42259
184;2.19565;0.410848;4.96272;3.38867
185;2.24938;0.4192;4.82365;3.69091
186;2.2001;0.41712;4.64832;3.3919
187;2.00246;0.418336;4.65434;3.71318
188;2.23744;0.40736;4.76122;3.40966
189;2.23782;0.409984;4.96317;3.67971
190;2.10346;0.40112;4.67149;3.43632
191;2.28976;0.40256;4.71037;3.46134
192;2.57046;0.406048;5.3847;3.53517
193;2.2007;0.409888;4.84176;4.11178
194;2.27702;0.402592;4.79098;3.40653
195;1.85994;0.39232;4.62051;3.40627
196;2.09578;0.392992;4.8576;3.65552
197;1.85389;0.398304;4.64346;3.77286
198;2.19917;0.395232;4.76685;3.53418
199;2.18502;0.393024;4.5521;3.55584
200;2.16214;0.393088;4.8951;3.48032
201;2.36454;0.395936;4.51053;3.65677
202;2.13942;0.396832;4.64016;3.64762
203;2.36019;0.390016;4.57171;3.43856
